EvtDate,Stkcd,company,llm,Trddt,ret,mv,idx_ret,date_diff,beta,exc_ret,adj_ret,Exc_ret,Adj_ret,cum_exc_ret,cum_adj_ret
2023-06-28,300188,美亚柏科,天擎,2023-07-06,-0.007437,14499396.01,-0.00035554165168221537,8,1.1237231136836912,-0.007081458348317785,-0.007037469628127418,0.9929185416516823,0.9929625303718725,-0.17927046606088615,-0.17681211198424085
2023-06-28,300188,美亚柏科,天擎,2023-07-07,-0.042957,13876544.83,-0.014417587974871545,9,1.1237231136836912,-0.028539412025128455,-0.026755623149068805,0.9714605879748716,0.9732443768509312,-0.20269360439116613,-0.19883701689686828
2023-06-28,300188,美亚柏科,天擎,2023-07-10,-0.023486,13550634.33,-0.002266105567896915,12,1.1237231136836912,-0.021219894432103086,-0.02093952479530693,0.978780105567897,0.9790604752046931,-0.21961236193602618,-0.2156129890466384
2023-06-28,300188,美亚柏科,天擎,2023-07-11,-0.00481,13485452.23,0.004075481787302373,13,1.1237231136836912,-0.008885481787302373,-0.009389713083788599,0.9911145182126976,0.9906102869162114,-0.22654648208107953,-0.22297815802614096
2023-06-28,300188,美亚柏科,天擎,2023-07-12,-0.031686,13058147.36,-0.023186920106939943,14,1.1237231136836912,-0.008499079893060056,-0.0056303219406944605,0.9915009201069399,0.9943696780593055,-0.23312012532344084,-0.2273530411514052
2023-06-28,300188,美亚柏科,天擎,2023-07-13,0.029395,13441997.5,0.015009608660516488,15,1.1237231136836912,0.014385391339483513,0.012528355820830717,1.0143853913394836,1.0125283558208307,-0.22208825821584444,-0.2176730451270673
2023-06-28,300188,美亚柏科,天擎,2023-07-14,0.040948,13992424.12,0.019507775598230147,16,1.1237231136836912,0.02144022440176985,0.019026661663714087,1.02144022440177,1.019026661663714,-0.20540965590722038,-0.2027879748462963
2023-06-28,300188,美亚柏科,天擎,2023-07-17,0.01087,14144515.69,-0.0012294829175525407,19,1.1237231136836912,0.01209948291755254,0.012251598372333049,1.0120994829175525,1.012251598372333,-0.1957955236124177,-0.19302085329651886
2023-06-28,300188,美亚柏科,天擎,2023-07-18,-0.044547,13514422.06,-0.016039389361295554,20,1.1237231136836912,-0.02850761063870445,-0.026523167445339894,0.9714923893612956,0.9734768325546601,-0.2187214716991781,-0.21442449632943283
2023-07-03,300229,拓尔思,拓天,2023-06-13,0.046148,24468204.96,0.024598869205236316,-20,1.5571425795483824,0.021549130794763685,0.007844053351785056,1.0215491307947637,1.007844053351785,0.021549130794763727,0.007844053351784952
